"Account Type","Account Name","Account Code","Parent Account","Normal Balance","Account Role","Live Zoho Status","Recommended Zoho Status","Tax / Reporting Mapping","Description","Existing Account ID"
"Expense","Business Travel Meals","6010.04","Auto And Travel","Debit","Posting Account","Active","Keep Active","Schedule E Line 6 – Auto and Travel","Properly substantiated meals during qualifying rental-business travel. Federal deductibility is generally limited to 50%; exclude personal, lavish, or inadequately documented amounts.","5858793000000511610"
"Expense","Parking And Tolls","6010.02","Auto And Travel","Debit","Posting Account","Active","Keep Active","Schedule E Line 6 – Auto and Travel","Parking and toll costs incurred for documented rental-property business travel.","5858793000000520064"
"Expense","Mortgage Interest","6070","","Debit","Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E / Applicable Expense Line","Schedule E Line 12 top-level parent. Do not post directly; use an applicable child account.","5858793000000511623"
"Expense","Mortgage Interest - 9401 Nieman Road","6070.01","Mortgage Interest","Debit","Posting Account","Active","Keep Active","Schedule E Line 12 – Mortgage Interest","Interest portion of mortgage payments for 9401 Nieman Road, reconciled to lender records and Form 1098 when applicable. Excludes principal, escrow funding, and non-interest late charges.","5858793000000511644"
"Expense","Other Interest","6080","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 13 – Other Interest","Schedule E Line 13 top-level parent. Do not post directly; use an applicable child account.","5858793000000511862"
"Expense","Credit Card Interest","6080.01","Other Interest","Debit","Posting Account","Active","Keep Active","Schedule E Line 13 – Other Interest","Finance charges on a GH Real Estate credit-card balance.","5858793000000520494"
"Expense","Other Loan Interest","6080.02","Other Interest","Debit","Posting Account","Active","Keep Active","Schedule E Line 13 – Other Interest","Interest on member, related-party, line-of-credit, or other non-mortgage business debt.","5858793000000520502"
"Expense","Advertising","6000","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 5 – Advertising","Schedule E Line 5 top-level parent. Do not post directly; use an applicable child account.","5858793000000520105"
"Expense","Online Advertising And Rental Listings","6000.01","Advertising","Debit","Posting Account","Active","Keep Active","Schedule E Line 5 – Advertising","Zillow and other online listing or paid advertising costs used to market available units.","5858793000000520121"
"Expense","Print Marketing And Signage","6000.03","Advertising","Debit","Posting Account","Active","Keep Active","Schedule E Line 5 – Advertising","Flyers, brochures, yard signs, banners, and similar rental-marketing materials.","5858793000000520134"
"Expense","Listing Photography And Videography","6000.02","Advertising","Debit","Posting Account","Active","Keep Active","Schedule E Line 5 – Advertising","Professional photography, video, floor plans, and media used to market rental units.","5858793000000520150"
"Expense","Depreciation Expense","6130","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 18 – Depreciation","Schedule E Line 18 top-level parent. Do not post directly; use an applicable child account.","5858793000000520311"
"Expense","Building Depreciation - 9401 Nieman Road","6130.01","Depreciation Expense","Debit","Posting Account","Active","Keep Active","Book Depreciation; Tax Schedule Maps Allowable Amount to Schedule E Line 18","Periodic book depreciation of the building basis for 9401 Nieman Road. Maintain a separate tax fixed-asset schedule; do not assume the Zoho book amount equals the allowable Schedule E depreciation deduction.","5858793000000520324"
"Expense","Appliance, Furniture And Equipment Depreciation","6130.03","Depreciation Expense","Debit","Posting Account","Active","Keep Active","Book Depreciation; Tax Schedule Maps Allowable Amount to Schedule E Line 18","Periodic book depreciation of capitalized appliances, furniture, and equipment. Maintain a separate tax fixed-asset schedule; do not assume the Zoho book amount equals the allowable Schedule E depreciation deduction.","5858793000000520332"
"Expense","Building And Land Improvement Depreciation","6130.02","Depreciation Expense","Debit","Posting Account","Active","Active – Rename/Scope Cleanup Recommended","Schedule E / Applicable Expense Line","Periodic book depreciation for building improvements only. Recommended live rename: Building Improvement Depreciation. Use conditional 6130.04 for separately depreciable land improvements.","5858793000003706570"
"Expense","Other Expenses","6990","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 19 – Other Rental Expenses","Schedule E Line 19 top-level parent for ordinary and necessary rental costs not listed on lines 5–18. Use defined children, do not post directly, and exclude nondeductible government fines and capital expenditures.","5858793000000520893"
"Expense","Bad Debt Expense – Accrual Basis Only","6990.13","Other Expenses","Debit","Posting Account","Active","Conditional – CPA Scope Review Before Posting","Book / Tax Review – Do Not Auto-Map to Schedule E","Use only after a CPA determines that an expense-recognition model applies to a previously recognized nonlease or other receivable. Operating-lease collectibility may instead adjust lease income; cash-basis rent never recognized generally creates no tax bad-debt deduction.","5858793000000511829"
"Expense","Education And Training","6990.12","Other Expenses","Debit","Posting Account","Active","Keep Active","Schedule E / Applicable Expense Line","Rental-business education, publications, and relevant professional association dues.","5858793000000511918"
"Expense","Mortgage And Loan Late Fees","6990.14","Other Expenses","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Lender late charges and non-interest finance penalties. Excludes mortgage interest and principal.","5858793000000511934"
"Expense","Software And Subscriptions","6990.04","Other Expenses","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Zoho and other software, cloud-storage, workflow, and property-management subscriptions used by GH Real Estate.","5858793000000520035"
"Expense","Licenses, Permits And Registration Fees","6990.03","Other Expenses","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Rental registrations, occupancy permits, municipal licenses, and ordinary filing fees. Capital-project permits may require capitalization.","5858793000000520449"
"Expense","Postage And Delivery","6990.09","Other Expenses","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Postage, certified mail, courier, and document-delivery costs for rental operations.","5858793000003706620"
"Expense","Tenant Screening And Application Costs","6990.10","Other Expenses","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Third-party screening or application costs paid by GH Real Estate and not retained directly from an applicant.","5858793000003706624"
"Expense","Tenant Welcome Kits And Business Gifts","6990.11","Other Expenses","Debit","Posting Account","Active","Keep Active","Schedule E / Applicable Expense Line","Reasonable non-gift welcome or turnover supplies provided to tenants for rental operations. Record true business gifts separately in 6990.15 so recipient-level federal limitations can be reviewed.","5858793000003706628"
"Expense","HOA Assessments And Charges","6990.01","Other Expenses","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 19 – Other Rental Expenses","Schedule E Line 19 subgroup for regular HOA assessments and private-association late charges. Do not post directly. Capital or special assessments that improve the property require capitalization review.","5858793000003706669"
"Expense","HOA Late Fees And Penalties","6990.01.02","HOA Assessments And Charges","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Late charges imposed by the HOA. Keep separate from regular assessments for management review.","5858793000001553120"
"Expense","Regular HOA Assessments","6990.01.01","HOA Assessments And Charges","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Regular HOA assessments for the rental property. Capital special assessments require separate review.","5858793000001553128"
"Expense","Bank And Payment Processing Fees","6990.05","Other Expenses","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 19 – Other Rental Expenses","Schedule E Line 19 subgroup for ordinary bank, ACH, card, and payment-processor charges. Do not post directly; use an applicable child. Record tenant reimbursements separately as income and reconcile processor clearing gross.","5858793000003706705"
"Expense","Other Payment Processor Fees","6990.05.03","Bank And Payment Processing Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Fees charged by another active payment processor. Leave unused if GH Real Estate uses only Zoho Payments.","5858793000000096207"
"Expense","Zoho Payments And ACH Processing Fees","6990.05.02","Bank And Payment Processing Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Transaction fees charged by Zoho Payments or its ACH provider.","5858793000000207007"
"Expense","Bank Fees","6990.05.01","Bank And Payment Processing Fees","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Monthly bank charges, check fees, wire fees, and similar banking costs.","5858793000000521213"
"Expense","Business Gifts – Tax Limited","6990.15","Other Expenses","Debit","Posting Account","Active","Conditional – Business Gifts","Schedule E Line 19 – Other Rental Expenses","Documented business gifts connected to the rental activity. Federal deduction is generally limited to $25 per recipient per year unless an exception applies; track recipient, date, business purpose, and amount.","5858793000003706717"
"Expense","Miscellaneous Rental Expense","6990.99","Other Expenses","Debit","Posting Account","Active","Keep Active","Schedule E Line 19 – Other Rental Expenses","Infrequent ordinary rental costs that genuinely do not fit another account. Review quarterly.","5858793000003706721"
"Other Income","Other Income","4400","","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Other Income – Tax Review","Top-level parent for genuine non-rental and non-operating income. Do not post directly.","5858793000000522873"
"Other Income","Bank Interest And Credit Union Dividends","4400.01","Other Income","Credit","Posting Account","Active","Keep Active","Form 1040 Interest / Schedule B as applicable","Interest and dividend-like earnings credited by GH Real Estate bank or credit-union accounts. Generally taxable as interest rather than Schedule E rental income; report on Form 1040/Schedule B as applicable.","5858793000003706117"
"Other Income","Miscellaneous Other Income","4400.09","Other Income","Credit","Posting Account","Active","Keep Active","Other Income – Tax Review","Infrequent non-rental business income that cannot be accurately classified elsewhere.","5858793000003706127"
"Other Income","Insurance, Settlement And Claim Proceeds","4400.02","Other Income","Credit","Posting / Tax Review","Active","Keep Active","Tax Review – Origin of Claim / Basis / Gain","Tax-review holding account for GH insurance and claim receipts, including business settlements. Treatment follows the origin of the claim and may reduce basis, restore a deducted loss, or create income or gain. Separately stated interest belongs in interest income.","5858793000003706840"
"Other Income","Tenant Late-Payment Interest – Tax Review","4400.03","Other Income","Credit","Posting Account","Active","Conditional – Leave Unmapped Pending Lease and Tax Review","Tax Review – Schedule E Rental Income vs Schedule B Interest","Separately tracked stated charge on overdue tenant debt. Recognition requires an enforceable signed-lease term and supported calculation. Tax presentation depends on the legal and economic characterization; Schedule E rental income versus Form 1040/Schedule B interest remains a tax-preparer decision.","5858793000003729035"
"Other Current Liability","Vendor Credits / Overpayments","2700","","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Zoho vendor-credit control. Use vendor-credit workflows to reverse the original expense or asset and reduce A/P. Recoverable vendor cash refunds or advances belong in 1300.02. Reconcile unapplied balances to vendor detail.","5858793000000672135"
"Other Current Asset","Goods In Transit","1910","","Debit","Zoho System / Do Not Use","Active","Keep Active – System / Zero","Balance Sheet / Not Direct Schedule E","Zoho inventory-control account for goods in transit. GH Real Estate does not ordinarily use it; leave at zero.","5858793000001126005"
"Other Current Liability","Third-Party Loans Payable","2320","","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Current portion of non-mortgage third-party loan principal due within 12 months. Recommended live rename: Current Portion of Other Third-Party Loans Payable.","5858793000002691147"
"Other Current Asset","Other Current Assets","1300","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Balance Sheet / Not Direct Schedule E","Parent for short-term non-cash assets. Do not post directly.","5858793000003701034"
"Other Current Asset","Prepaid Expenses","1300.01","Other Current Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Payments made before the related service or benefit period. Amortize material amounts over the applicable period.","5858793000000090011"
"Other Current Asset","Mortgage Escrow - 9401 Nieman Road","1300.03","Other Current Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Funds held by the mortgage servicer for property taxes and insurance. Reduce when the servicer disburses the funds.","5858793000001571845"
"Other Current Asset","Vendor Advances And Refunds Receivable","1300.02","Other Current Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Vendor deposits, advances, and confirmed refunds owed to GH Real Estate. Clear through the applicable bill, credit, or refund.","5858793000003701042"
"Other Current Asset","Due From Member / Member Receivable","1300.04","Other Current Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Documented, enforceable amount the member must repay promptly to GH Real Estate. Do not net against Due to Member. If repayment is not expected, classify as a member distribution instead of an asset.","5858793000003706896"
"Fixed Asset","Fixed Assets","1500","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Balance Sheet / Not Direct Schedule E","Parent for capitalized property and equipment. Do not post directly.","5858793000003701056"
"Fixed Asset","Appliances","1500.05","Fixed Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Capitalized appliances exceeding the adopted capitalization threshold. Maintain item-level detail in the fixed-asset register.","5858793000000757101"
"Fixed Asset","Land - 9401 Nieman Road","1500.01","Fixed Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Allocated acquisition cost of nondepreciable land, including qualifying capitalized acquisition costs.","5858793000003701060"
"Fixed Asset","Building - 9401 Nieman Road","1500.02","Fixed Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Capitalized acquisition cost allocated to the residential building, excluding land and separately identified assets.","5858793000003701064"
"Fixed Asset","Building Improvements - 9401 Nieman Road","1500.03","Fixed Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Capitalized building betterments, restorations, and adaptations placed in service after acquisition. Excludes ordinary repairs; maintain project, placed-in-service date, cost, and book/tax depreciation details.","5858793000003701068"
"Fixed Asset","Land Improvements - 9401 Nieman Road","1500.04","Fixed Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Capitalized depreciable site improvements such as qualifying paving, fencing, drainage, and permanent landscaping. Track separately from building improvements because useful lives and tax recovery periods may differ.","5858793000003701074"
"Fixed Asset","Furniture And Equipment","1500.06","Fixed Assets","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Capitalized furniture, office equipment, and property equipment exceeding the adopted capitalization threshold.","5858793000003701080"
"Other Asset","Construction In Progress","1550","","Debit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Qualifying capital-project costs accumulated before the asset is ready and available for use. Do not depreciate CIP; transfer to the appropriate fixed-asset account when placed in service.","5858793000003701084"
"Fixed Asset","Accumulated Depreciation","1590","","Credit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Balance Sheet / Not Direct Schedule E","Parent contra-asset for cumulative depreciation. Do not post directly.","5858793000003701088"
"Fixed Asset","Accumulated Depreciation - Building","1590.01","Accumulated Depreciation","Credit","Contra-Asset Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Cumulative depreciation recorded against the building. This account normally carries a credit balance.","5858793000000290629"
"Fixed Asset","Accumulated Depreciation - Appliances, Furniture And Equipment","1590.03","Accumulated Depreciation","Credit","Contra-Asset Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Cumulative depreciation recorded against appliances, furniture, and equipment. This account normally carries a credit balance.","5858793000000757091"
"Fixed Asset","Accumulated Depreciation - Improvements","1590.02","Accumulated Depreciation","Credit","Posting Account","Active","Active – Rename/Scope Cleanup Recommended","Balance Sheet / Not Direct Schedule E","Cumulative book depreciation for building improvements only. Recommended live rename: Accumulated Depreciation - Building Improvements. Land improvements belong in 1590.04.","5858793000003701096"
"Fixed Asset","Accumulated Depreciation - Land Improvements","1590.04","Accumulated Depreciation","Credit","Contra-Asset Posting Account","Active","Conditional – Live but Use Only If Land-Improvement Basis Exists","Balance Sheet / Not Direct Schedule E","Cumulative book depreciation recorded against depreciable land improvements. Normal balance is credit. Do not depreciate land; maintain detailed book and tax fixed-asset schedules.","5858793000003729006"
"Non Current Liability","Non Current Liabilities","2800","","Credit","Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Balance Sheet / Not Direct Schedule E","Parent for mortgage and other debt principal. Do not post directly.","5858793000003701177"
"Non Current Liability","Related-Party Loans Payable","2800.03","Non Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Documented loans owed to related parties other than the member.","5858793000001571805"
"Non Current Liability","Mortgage Payable - 9401 Nieman Road","2800.01","Non Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Long-term portion of mortgage principal due more than 12 months after the balance-sheet date. Reduce for principal payments and reclassify the next 12 months to 2200.04 at each applicable reporting date.","5858793000003701183"
"Non Current Liability","Loan Payable To Member","2800.02","Non Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Bona fide member loans supported by repayment terms. Excludes permanent capital contributions.","5858793000003701187"
"Non Current Liability","Other Loans Payable","2800.04","Non Current Liabilities","Credit","Posting Account","Active","Keep Active","Balance Sheet / Not Direct Schedule E","Long-term portion of third-party non-mortgage loan principal due more than 12 months after the balance-sheet date. Reclassify current maturities to 2320.","5858793000003701195"
"Expense","Commissions","6030","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 8 – Commissions","Schedule E Line 8 top-level parent. Do not post directly; use an applicable child account.","5858793000003706266"
"Expense","Leasing Commissions","6030.01","Commissions","Debit","Posting Account","Active","Keep Active – Scope Review","Book / Tax Review – Expense vs Deferred Leasing Cost","Third-party commissions for procuring or renewing tenants. Evaluate whether incremental lease-acquisition costs require deferral to conditional 1600 and amortization through 6030.03.","5858793000003706270"
"Expense","Tenant Referral And Placement Fees","6030.02","Commissions","Debit","Posting Account","Active","Keep Active – Scope Review","Book / Tax Review – Expense vs Deferred Leasing Cost","Referral or placement fees paid for a completed tenancy. Evaluate whether an incremental lease-acquisition cost requires deferral to conditional 1600 and amortization through 6030.03.","5858793000003706274"
"Expense","Utilities","6120","","Debit","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Schedule E Line 17 – Utilities","Schedule E Line 17 top-level parent. Do not post directly; use an applicable child account.","5858793000003706524"
"Expense","Water","6120.03","Utilities","Debit","Posting Account","Active","Keep Active","Schedule E Line 17 – Utilities","Potable-water charges paid by the landlord.","5858793000000511870"
"Expense","Natural Gas","6120.02","Utilities","Debit","Posting Account","Active","Keep Active","Schedule E Line 17 – Utilities","Natural-gas or propane utility charges paid for rental-property use.","5858793000000511878"
"Expense","Sewer And Stormwater","6120.04","Utilities","Debit","Posting Account","Active","Keep Active","Schedule E Line 17 – Utilities","Wastewater, sewer, and stormwater utility charges paid by the landlord.","5858793000000511886"
"Expense","Internet And Cable","6120.06","Utilities","Debit","Posting Account","Active","Keep Active","Schedule E Line 17 – Utilities","Internet, cable, or television service provided for rental operations or tenant amenities.","5858793000000511894"
"Expense","Electricity","6120.01","Utilities","Debit","Posting Account","Active","Keep Active","Schedule E Line 17 – Utilities","Electricity paid for rental units, common areas, exterior lighting, or other rental-property use.","5858793000000511902"
"Expense","Business Telephone And Mobile Service","6120.07","Utilities","Debit","Posting Account","Active","Keep Active","Schedule E Line 17 – Utilities","Monthly cellular, VoIP, and telephone service used for GH Real Estate rental operations, including tenant, vendor, emergency, and property-management communications. Allocate and exclude any personal-use portion. Excludes separately purchased phone hardware, which is recorded as supplies or equipment as appropriate.","5858793000000511910"
"Expense","Trash And Recycling","6120.05","Utilities","Debit","Posting Account","Active","Keep Active","Schedule E Line 17 – Utilities","Refuse, dumpster, recycling, and similar collection services.","5858793000003706558"
"Expense","Non-Deductible Expenses – Tax Adjustment","7990","","Normally Zero / Mixed","Top Parent – Do Not Post","Active","Keep Active – Parent / Do Not Post","Book Expense – Exclude / Tax Addback Review","Top-level book-expense parent for costs excluded from Schedule E and requiring tax adjustment. Do not post directly; use a defined child and provide balances to the tax preparer.","5858793000003729091"
"Expense","Non-Deductible Government Fines and Penalties","7990.01","Non-Deductible Expenses – Tax Adjustment","Debit","Posting / Tax Addback","Active","Keep Active","Book Expense – Exclude / Tax Addback Review","Government-imposed fines and penalties recorded for book purposes but generally excluded from federal deduction under IRC 162(f), subject to narrow exceptions. Keep outside the Schedule E Line 19 rollup and provide to the tax preparer for review.","5858793000003729095"
